unique_id,case_id_fkey,latitude,longitude,collision_year,death_date,death_time,death_datetime,collision_date,collision_time,collision_datetime,location,age,sex,deceased,collision_type,street_type,on_vz_hin_2017,in_coc_2018,publish,on_vz_hin_2022,in_epa_2021,point,analysis_neighborhood,supervisor_district,police_district,data_as_of,data_loaded_at,age_category,collision_category,collision_hour,time_of_day,collision_year_clean,collision_month,collision_day,day_of_week,high_risk
20241252,240627965,37.814747503003275,-122.37099979101882,2024,2024-10-06,01:40:00,2024-10-06 01:40:00,2024-10-06,01:11:00,2024-10-06 01:11:00,Treasure Island Rd between Clipper Cove Way and Macalla Rd,24.0,Male,Driver,Motor Vehicle Collision (solo),City Street,False,True,True,False,True,POINT (-122.370999791 37.814747503),Treasure Island,6.0,SOUTHERN,2024-11-08 12:00:00,2025-04-08 04:35:01,Young Adult (18-34),Vehicle,1.0,Night (9pm-5am),2024,10,6,Sunday,1
62,150343695,37.749486078759865,-122.49978542416297,2015,2015-04-20,21:58:00,2015-04-20 09:58:00,2015-04-20,06:20:00,2015-04-20 06:20:00,41st Avenue at Pacheco St,88.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,False,False,True,False,False,POINT (-122.499785424 37.749486079),Sunset/Parkside,4.0,TARAVAL,2024-09-18 12:00:00,2025-04-08 04:35:01,Senior (65+),Pedestrian,6.0,Morning (5am-12pm),2015,4,20,Monday,1
20220443,220233087,37.740897516459775,-122.3847055400222,2022,2022-04-09,15:04:00,2022-04-09 03:04:00,2022-04-09,14:58:00,2022-04-09 02:58:00,Mendell St at Evans St,33.0,Male,Moped,Motorcycle vs Motor Vehicle,City Street,True,False,True,True,False,POINT (-122.38470554 37.740897516),Bayview Hunters Point,10.0,BAYVIEW,2024-09-18 12:00:00,2025-04-08 04:35:01,Young Adult (18-34),Motorcycle,14.0,Night (9pm-5am),2022,4,9,Saturday,1
20241453,240730574,37.76495645963254,-122.42123959323264,2024,2024-11-24,03:19:00,2024-11-24 03:19:00,2024-11-24,02:42:00,2024-11-24 02:42:00,16th St and Rondel Pl,64.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,True,True,True,True,True,POINT (-122.421239593 37.76495646),Mission,9.0,MISSION,2024-12-20 12:00:00,2025-04-08 04:35:01,Adult (35-64),Pedestrian,2.0,Night (9pm-5am),2024,11,24,Sunday,1
20250020,250007824,37.72953192695202,-122.4142253741194,2025,2025-01-04,,2025-01-04 12:00:00,2025-01-04,17:30:00,2025-01-04 05:30:00,Colby St and Silver Ave,81.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,False,False,True,False,False,POINT (-122.414225374 37.729531927),Portola,9.0,BAYVIEW,2025-02-18 12:00:00,2025-04-08 04:35:01,Senior (65+),Pedestrian,17.0,Morning (5am-12pm),2025,1,4,Saturday,1
222,190519884,37.784376410399986,-122.409314656,2019,2019-07-18,,2019-07-18 12:00:00,2019-07-18,05:35:00,2019-07-18 05:35:00,Eddy Street and Mason Steet,54.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,True,True,True,True,True,POINT (-122.409314656 37.78437641),Tenderloin,5.0,TENDERLOIN,2024-09-18 12:00:00,2025-04-08 04:35:01,Adult (35-64),Pedestrian,5.0,Morning (5am-12pm),2019,7,18,Thursday,1
92,23881000,37.770049772562125,-122.40700149001546,2016,2016-02-06,21:32:00,2016-02-06 09:32:00,2016-02-06,21:20:00,2016-02-06 09:20:00,Brannan Street and 9th Street,23.0,Male,Driver,Motor Vehicle Collision,City Street,True,True,True,True,False,POINT (-122.40700149 37.770049773),South of Market,6.0,SOUTHERN,2024-09-18 12:00:00,2025-04-08 04:35:01,Young Adult (18-34),Vehicle,21.0,Morning (5am-12pm),2016,2,6,Saturday,0
40,140931200,37.76551566304662,-122.41971369766406,2014,2014-11-03,13:15:00,2014-11-03 01:15:00,2014-11-03,13:49:00,2014-11-03 01:49:00,1984 Mission St,64.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,True,True,True,True,True,POINT (-122.419713698 37.765515663),Mission,9.0,MISSION,2024-09-18 12:00:00,2025-04-08 04:35:01,Adult (35-64),Pedestrian,13.0,Night (9pm-5am),2014,11,3,Monday,1
20221318,220741632,37.76903613690056,-122.41342702246178,2022,2022-10-28,02:12:00,2022-10-28 02:12:00,2022-10-25,01:45:00,2022-10-25 01:45:00,Harrison St between 13th St and 14th St,48.0,Male,Motorcyclist,Motorcycle Collision,City Street,True,True,True,False,False,POINT (-122.413427022 37.769036137),Mission,9.0,MISSION,2024-09-18 12:00:00,2025-04-08 04:35:01,Adult (35-64),Motorcycle,1.0,Night (9pm-5am),2022,10,25,Tuesday,1
2024039699,240169569,37.74116167920915,-122.4663517116426,2024,2024-03-17,04:26:00,2024-03-17 04:26:00,2024-03-16,12:13:00,2024-03-16 12:13:00,Ulloa St and Lenox Way,38.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,False,False,True,False,False,POINT (-122.466351712 37.741161679),West of Twin Peaks,7.0,TARAVAL,2024-09-18 12:00:00,2025-04-08 04:35:01,Adult (35-64),Pedestrian,12.0,Afternoon (12pm-5pm),2024,3,16,Saturday,1
